City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Butaritari,KI,82.13,light rain,3.07,172.79,Isles Sunset Lodge
1,Souillac,MU,75.58,broken clouds,-20.52,57.52,Bils' Villa
2,Georgetown,MY,83.89,few clouds,5.41,100.34,Cititel Penang
4,Rikitea,PF,76.1,overcast clouds,-23.12,-134.97,People ThankYou
5,Morondava,MG,75.36,scattered clouds,-20.28,44.28,La Case Bambou
10,Atuona,PF,78.8,few clouds,-9.8,-139.03,Villa Enata
15,Mahebourg,MU,75.49,broken clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
18,Bambous Virieux,MU,75.45,broken clouds,-20.34,57.76,Casa Tia Villa
20,Vilhena,BR,79.02,clear sky,-12.74,-60.15,Hotel Mirage
24,Purna,IN,78.91,broken clouds,19.18,77.05,हनुमान इंजिनिअरींग वर्कशॉप
26,Acarau,BR,84.16,broken clouds,-2.89,-40.12,castelo pizzaria
29,Veraval,IN,85.05,few clouds,20.9,70.37,Lords Inn Somnath
31,Maceio,BR,83.64,few clouds,-9.67,-35.74,Poutur Pousada
34,Samarai,PG,79.74,scattered clouds,-10.62,150.67,Nuli Sapi
47,The Valley,AI,87.66,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
53,Barreirinha,BR,86.31,broken clouds,-2.79,-57.07,Mirante do Poeta - Elpídio Nunes
56,Port-Gentil,GA,78.48,overcast clouds,-0.72,8.78,Fengshui Residence
63,Grand Gaube,MU,75.6,broken clouds,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
69,Peniche,PT,78.62,broken clouds,39.36,-9.38,Hotel Star inn Peniche
70,Jamestown,US,80.29,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
72,Soyo,AO,77.13,broken clouds,-6.13,12.37,Hotel Mpampa
75,Wadena,US,79.12,clear sky,46.44,-95.14,Eastwood Inn of Wadena
76,Guiratinga,BR,86.83,broken clouds,-16.35,-53.76,Hotel Angra do Cerrado - Guiratinga MT
78,Dakar,SN,86.88,clear sky,14.69,-17.44,Redface Studios Meublés
88,Honiara,SB,76.86,clear sky,-9.43,159.95,Heritage Park Hotel
90,Palmer,US,76.62,broken clouds,42.16,-72.33,Wedgewood Motel
93,Fuling,CN,75.72,broken clouds,29.7,107.39,Yingbin Hostel
99,Balkanabat,TM,80.71,clear sky,39.51,54.37,Nebitchi Hotel
100,Santa Catarina De Tepehuanes,MX,84.67,scattered clouds,25.35,-105.73,hotel plaza
101,Carutapera,BR,80.01,overcast clouds,-1.2,-46.02,Lidera
107,Gat,IL,79.81,clear sky,31.61,34.76,OlusHome
109,Touros,BR,85.1,few clouds,-5.2,-35.46,INN NEW HORIZON
110,Puerto Ayora,EC,82.36,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
114,Tawau,MY,78.93,light rain,4.25,117.89,Shervinton Executive Boutique Hotel
115,Muisne,EC,82.51,overcast clouds,0.6,-80.03,Quinta Samay
119,Lompoc,US,89.1,clear sky,34.64,-120.46,"Holiday Inn Express Lompoc, an IHG Hotel"
120,Goderich,CA,78.21,broken clouds,43.75,-81.72,Harmony Inn
122,Bengkulu,ID,75.85,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
126,Fuzhou,CN,80.6,few clouds,26.06,119.31,Shangri La Hotel Fuzhou
129,Faanui,PF,80.11,scattered clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
131,Hithadhoo,MV,82.65,scattered clouds,-0.6,73.08,Scoop Guest House
135,Devils Lake,US,77.11,clear sky,48.11,-98.87,"Holiday Inn Express Devils Lake, an IHG Hotel"
136,Banda Aceh,ID,80.69,overcast clouds,5.56,95.32,Sulthan Hotel International
148,Manali,IN,85.06,overcast clouds,13.17,80.27,Sarathy Lodge
156,Kavieng,PG,81.97,clear sky,-2.57,150.8,Nusa Island Retreat
157,Hope,US,89.65,scattered clouds,33.67,-93.59,Best Western Hope
163,Sinnamary,GF,79.0,light rain,5.38,-52.95,ALETHEIA Appartement Sinnamary
170,Venado Tuerto,AR,75.78,clear sky,-33.75,-61.97,Hotel - Miro Park
171,Sao Joao Da Barra,BR,75.29,overcast clouds,-21.64,-41.05,Pousada Porto De Canoas
173,Manono,CD,76.57,clear sky,-7.3,27.42,Hotel hewa bora
174,Monforte De Lemos,ES,80.56,scattered clouds,42.52,-7.51,Hotel Cardenal
178,Salalah,OM,82.49,few clouds,17.02,54.09,HAMDAN PLAZA HOTEL SALALAH
180,Corn Island,NI,82.72,scattered clouds,12.17,-83.04,Big Fish Guest House
181,Juruti,BR,86.29,overcast clouds,-2.15,-56.09,Hotel Acauã - ORLA
185,Tabou,CI,79.43,moderate rain,4.42,-7.35,hotêl doufoulougou
186,Marquette,US,76.77,broken clouds,46.53,-87.63,Al Quaal Lodge
193,Monrovia,LR,76.77,light rain,6.3,-10.8,Eco-Hotel Hall & Restaurant
194,Nador,MA,75.27,scattered clouds,35.17,-2.93,Hôtel La Giralda
196,Macapa,BR,84.18,light rain,0.04,-51.07,Atalanta Hotel
197,Sur,OM,89.85,clear sky,22.57,59.53,Sur Plaza Hotel
202,Tonekabon,IR,75.15,scattered clouds,36.82,50.87,Hotel Sadra
203,Balabac,PH,81.21,moderate rain,7.99,117.06,Sing and Swing Lodge
206,Sainte-Maxime,FR,85.75,scattered clouds,43.3,6.63,Hôtel Les Jardins De Sainte Maxime
215,Abonnema,NG,80.89,overcast clouds,4.71,6.79,Corper's Lodge Obonoma
217,Breves,BR,83.05,overcast clouds,-1.68,-50.48,Hotel e Restaurante Grill
219,Kushalgarh,IN,88.21,scattered clouds,23.2,74.45,Navkar Guest House
220,Makasar,ID,77.05,light rain,-5.14,119.42,Aryaduta Makassar
221,Kahului,US,78.82,scattered clouds,20.89,-156.47,Maui Seaside Hotel
222,Black River,JM,84.99,light rain,18.03,-77.85,Idlers' Rest Beach Hotel
224,Gombe,NG,78.8,clear sky,10.29,11.17,"Alh,Babayo Sarkin Sulken Gombe Comfound"
226,Pepel,SL,83.14,overcast clouds,8.58,-13.06,Tasso Ecotourism Project
228,Ixtapa,MX,89.22,broken clouds,20.7,-105.2,Hotel Plaza Providencia
231,Tortoli,IT,79.99,few clouds,39.93,9.66,Hotel La Bitta
233,Port Blair,IN,82.87,broken clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
234,Dzaoudzi,YT,76.89,broken clouds,-12.79,45.27,Le Rocher
236,Lakatoro,VU,75.56,broken clouds,-16.1,167.42,Lakatoro Palm Lodge
239,Marshall,US,89.38,light rain,34.38,-86.33,Lake Guntersville Bed and Breakfast
240,Beyneu,KZ,81.01,overcast clouds,45.32,55.2,NUR
242,Ukiah,US,81.36,clear sky,39.15,-123.21,Hampton Inn Ukiah
244,Seabra,BR,80.33,overcast clouds,-12.42,-41.77,Cambuí Hotel
248,Aureliana,PH,78.48,moderate rain,10.89,121.98,"Aureliana, patnongon, antique"
249,Sola,VU,79.65,overcast clouds,-13.88,167.55,Ulkel Guest House
250,Turan,VN,80.58,broken clouds,16.07,108.22,Sun River Hotel
252,Grand-Bourg,GP,88.65,broken clouds,15.88,-61.31,Coco Beach Resort
259,Sterling,US,76.46,overcast clouds,39.01,-77.43,Hampton Inn & Suites Washington-Dulles International Airport
269,Kaptanganj,IN,83.17,broken clouds,26.93,83.72,IMC
270,Victoria,HK,82.38,light rain,22.29,114.16,Mini Hotel Central
275,Piojo,CO,82.76,broken clouds,10.75,-75.11,Reserva Natural Los Charcones - Lomita el paso del conejo
276,Pemba,MZ,75.9,few clouds,-12.97,40.52,Guesthouse Samotina
278,Kalamazoo,US,87.85,clear sky,42.25,-85.55,Four Points by Sheraton Kalamazoo
279,Nouakchott,MR,80.53,broken clouds,18.09,-15.98,HOTEL IMAN فندق إيمان
282,Aktau,KZ,77.0,clear sky,43.65,51.2,Silk Way Hotel
290,Padang,ID,77.68,moderate rain,-0.95,100.35,Mercure Padang
293,Belmonte,BR,82.4,overcast clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
294,Nouadhibou,MR,78.78,overcast clouds,20.93,-17.03,El Medina
297,Kuching,MY,79.02,few clouds,1.55,110.33,Hilton Kuching
307,Malkangiri,IN,78.03,overcast clouds,18.35,81.9,Girls' Hostel
309,Tautira,PF,75.22,broken clouds,-17.73,-149.15,Pension Oaoa
313,Hirara,JP,83.14,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
314,Poncitlan,MX,83.12,scattered clouds,20.37,-102.92,Hotel Plaza Poncitlan
319,Pontianak,ID,78.78,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
322,Hibbing,US,75.2,scattered clouds,47.43,-92.94,Mitchell-Tappan House
324,Libreville,GA,80.62,few clouds,0.39,9.45,Hotel Re-Ndama
328,Hami,CN,75.99,light rain,42.8,93.45,Laoyutang Resort
336,Mogadishu,SO,78.19,overcast clouds,2.04,45.34,Hotel Juba
337,Boa Vista,BR,89.58,broken clouds,2.82,-60.67,Aipana Plaza Hotel
340,Porto Walter,BR,76.95,overcast clouds,-8.27,-72.74,Hotel Silva
343,Zhanaozen,KZ,84.33,few clouds,43.3,52.8,K.korabay 28A
348,Ambon,ID,78.8,scattered clouds,-3.7,128.18,Swiss-Belhotel Ambon
349,Labuan,MY,77.11,moderate rain,5.28,115.24,Tiara Labuan Hotel
352,Oriximina,BR,85.3,overcast clouds,-1.77,-55.87,Pousada Tia Amélia
353,Santa Cruz,BO,77.05,clear sky,-17.8,-63.17,Aviador Hotel Boutique
360,Makakilo City,US,77.32,scattered clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
362,Omboue,GA,77.77,overcast clouds,-1.57,9.26,Hotel Olako
370,Laguna,US,84.99,clear sky,38.42,-121.42,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
372,Salinas,US,81.0,clear sky,36.68,-121.66,Laurel Inn & Conference Center
381,Kirakira,SB,78.78,broken clouds,-10.45,161.92,SanBiz Lodge
382,West Bay,KY,87.87,few clouds,19.37,-81.42,Calypso Cove
385,Bathsheba,BB,86.61,few clouds,13.22,-59.52,Atlantis Hotel
386,Pimenta Bueno,BR,88.16,broken clouds,-11.67,-61.19,Cristalina Palace Hotel
391,Owerri,NG,80.19,overcast clouds,5.48,7.03,Donamario
394,Balao,EC,80.51,broken clouds,-2.92,-79.82,Gilson Stalin Lucas S
402,Sechura,PE,77.54,few clouds,-5.56,-80.82,Hospedaje Costa Bella
403,Jalu,LY,84.63,clear sky,29.03,21.55,صاحبة الفخامة
408,Alugan,PH,79.75,overcast clouds,12.22,125.48,JM Lodge
410,Ilebo,CD,79.86,few clouds,-4.32,20.58,Hôtel BUMAK
411,Lasa,IT,75.11,overcast clouds,46.62,10.7,Pension Feldgärtenhof
416,Paita,PE,79.36,clear sky,-5.09,-81.11,Hotel Náutico de Paita
417,Itarema,BR,84.2,broken clouds,-2.92,-39.92,"Sea Lounge! Bar, Club & Restaurant"
418,Cayenne,GF,87.84,clear sky,4.93,-52.33,Hôtel Le Dronmi
422,Salina Cruz,MX,83.08,overcast clouds,16.17,-95.2,Amerik HOTEL
424,Buchanan,LR,77.0,moderate rain,5.88,-10.05,Kamaneahn Hotel Inc
428,Miranda,CO,84.33,broken clouds,3.25,-76.23,Parqueadero toño lasso
433,Tiarei,PF,75.22,scattered clouds,-17.53,-149.33,Le Rocher de Tahiti
435,Road Town,VG,86.04,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
440,Yining,CN,75.49,broken clouds,29.04,114.56,Xiushui Hotel
445,Birjand,IR,84.67,clear sky,32.87,59.22,Birjand Tourist Hotel
451,Mashhad,IR,82.54,clear sky,36.3,59.61,Khanye Sabz Hotel
452,Callaguip,PH,80.62,broken clouds,18.07,120.49,Pangil Beach Resort
453,Bose,IT,82.0,broken clouds,45.46,8.01,Locanda Borgo Antico
455,Shelburne,CA,76.91,overcast clouds,44.08,-80.2,The Retreat at the Farm
457,Santiago,CL,76.44,clear sky,-33.46,-70.65,Hotel Fundador
458,Tremedal,BR,82.63,overcast clouds,-14.98,-41.41,Pousada Estillos
459,Bonito,BR,75.43,clear sky,-21.12,-56.48,Marruá Hotel
460,Harper,LR,79.65,moderate rain,4.38,-7.72,Screensaver
461,Acapulco,MX,82.22,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
467,Barbastro,ES,88.63,clear sky,42.04,0.13,Gran Hotel Ciudad De Barbastro
471,Sao Filipe,CV,77.27,overcast clouds,14.9,-24.5,Hotel Xaguate
472,Broome,US,78.06,broken clouds,42.25,-75.83,Chenango Valley State Park
473,Polewali,ID,76.51,overcast clouds,-3.43,119.34,Lilianto Hotel
474,Annau,TM,87.3,clear sky,37.89,58.52,Buzmein Sokak
475,Presidente Medici,BR,84.99,broken clouds,-11.18,-61.9,Oliveira Palace Hotel
476,Baikunthpur,IN,80.67,broken clouds,23.25,82.55,Hotel Shree Annpurna inn
477,Coahuayana,MX,89.08,broken clouds,18.73,-103.68,El rranchito michuacan de ocampos
480,Nisia Floresta,BR,85.01,broken clouds,-6.09,-35.21,Rancho Crepusculo
485,Sarangani,PH,82.15,overcast clouds,5.4,125.46,Ballistic Islet
486,Rio Claro,BR,78.78,clear sky,-22.41,-47.56,Hotel Vivendas Rio Claro by Atlantica
487,Axim,GH,80.76,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
491,Lander,US,82.11,clear sky,42.83,-108.73,"Holiday Inn Express & Suites Lander, an IHG Hotel"
492,Nang Rong,TH,75.87,light rain,14.64,102.79,Phanomrungpuri Boutique Hotels & Resorts
494,Ghansor,IN,77.77,overcast clouds,22.65,79.95,A1 tuition center
499,Deulgaon Raja,IN,80.74,scattered clouds,20.02,76.03,Hotel YOGIRAJ LODGING & BOARDIING
502,Luanda,AO,75.33,few clouds,-8.84,13.23,Forum GestHotel
509,Labuhan,ID,78.37,few clouds,-6.88,112.21,Rumah Naqsa
511,Cabo Rojo,PR,88.27,scattered clouds,18.09,-67.15,Hotel Perichi's
514,Garowe,SO,86.05,overcast clouds,8.41,48.48,Curubo Hotel
518,Lincoln,US,83.8,clear sky,40.8,-96.67,Courtyard by Marriott Lincoln Downtown/Haymarket
521,Kupang,ID,76.21,broken clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
525,Alcudia,ES,82.0,clear sky,39.85,3.12,Zafiro Tropic
526,Da Nang,VN,80.58,broken clouds,16.07,108.22,Sun River Hotel
527,Alamosa,US,75.2,clear sky,37.47,-105.87,Best Western Alamosa Inn
529,Eydhafushi,MV,83.05,overcast clouds,5.1,73.07,Soneva Fushi
531,Crossville,US,84.4,broken clouds,35.95,-85.03,Hampton Inn Crossville
534,San Cristobal,VE,80.78,broken clouds,7.77,-72.22,Pirineos
535,Dattapur,IN,79.56,overcast clouds,20.77,78.17,Hotel Sadanand
537,Santa,PH,78.75,overcast clouds,17.49,120.43,The Mansion
545,Dingle,PH,76.39,moderate rain,11.0,122.67,SEGAYA PROPERTY
552,Dicabisagan,PH,79.54,overcast clouds,17.08,122.42,Nancy Montanes Bernardo
554,Anloga,GH,84.2,scattered clouds,5.79,0.9,Pin Drop Hotel
555,Terra Santa,BR,86.5,overcast clouds,-2.1,-56.49,Igreja da paz
557,Tefe,BR,87.91,broken clouds,-3.35,-64.71,Aracati Hotel
564,Wamba,NG,75.56,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
568,Ames,US,85.05,clear sky,42.03,-93.62,"Holiday Inn Express & Suites Ames, an IHG Hotel"
570,Hobyo,SO,78.35,overcast clouds,5.35,48.53,Halane Hotel and Restaurent
571,Matara,LK,79.38,broken clouds,5.95,80.54,Amaloh Boutique Resort
572,Beaver Dam,US,82.99,scattered clouds,43.46,-88.84,"AmericInn by Wyndham, Beaver Dam"
573,Mahibadhoo,MV,83.37,overcast clouds,3.78,72.97,Omadhoo Inn
575,Ternate,ID,80.04,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
576,Bandarbeyla,SO,79.7,broken clouds,9.49,50.81,JABIR HOTEL
577,Wanning,CN,80.64,overcast clouds,18.8,110.4,Paradise Hotel
584,Hastings,GB,75.33,scattered clouds,50.86,0.57,Zanzibar Hotel
587,Nabire,ID,75.0,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
588,Faya,SA,79.32,broken clouds,18.39,42.45,مقبرة ال مجمل
591,Tuy Hoa,VN,80.98,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
592,Clovis,US,89.37,clear sky,36.83,-119.7,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
593,Half Moon Bay,US,80.15,few clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
596,Oron,NG,76.48,overcast clouds,4.83,8.23,Aqua Belloni Lodge
598,Digri,PK,87.21,clear sky,25.16,69.11,Ayan tyre point and computer alaiment
599,Dawlatabad,AF,85.23,clear sky,36.41,64.91,WASIM ASGAR KHAN
600,Banjar,ID,76.86,clear sky,-8.19,114.97,The Hamsa Resort
601,Lorengau,PG,82.06,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
604,Bhatkal,IN,77.99,overcast clouds,13.97,74.57,Nilawar Palace
605,Gimli,CA,75.06,scattered clouds,50.63,-96.99,Lakeview Gimli Resort
607,Oil City,US,83.26,broken clouds,41.43,-79.71,Days Inn by Wyndham Oil City Conference Center
610,Mayumba,GA,77.49,scattered clouds,-3.43,10.66,LIKWALE LODGE
617,Statesville,US,83.68,overcast clouds,35.78,-80.89,Courtyard by Marriott Statesville Mooresville/Lake Norman
619,Tezu,IN,78.78,broken clouds,27.92,96.17,Circuit House
621,Grand Forks,US,79.0,few clouds,47.94,-97.43,Warrior Inn
622,Harrisburg,US,77.0,broken clouds,40.27,-76.88,Hilton Harrisburg
628,Saint Anthony,US,84.34,clear sky,45.02,-93.22,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
634,San Miguel,SV,84.25,overcast clouds,13.48,-88.18,Hotel Tropico Inn San Miguel
635,Bagamoyo,TZ,78.8,broken clouds,-6.43,38.9,Be Swahilid B and B
637,Paragominas,BR,80.04,broken clouds,-2.97,-47.48,INOVA
640,Ban Dung,TH,75.99,moderate rain,17.7,103.26,Heuan Na Khee
641,Caravelas,BR,77.76,overcast clouds,-17.71,-39.25,Pousada dos Navegantes
647,Yuncheng,CN,75.16,light rain,35.02,110.99,晋州快捷酒店
648,Bull Savanna,JM,84.24,broken clouds,17.89,-77.59,Big Red's
651,Vinh,VN,76.66,very heavy rain,18.67,105.67,Hotels Shanghai
660,Pedernales,DO,86.86,few clouds,18.04,-71.74,Hotel Costa Marina
663,Cap Malheureux,MU,75.69,broken clouds,-19.98,57.61,Pereybere Hotel & Spa
665,Mayo,US,77.27,overcast clouds,38.89,-76.51,Resorts Resource Group International
669,Bonthe,SL,83.35,overcast clouds,7.53,-12.51,Bonthe Holiday Village
677,Luorong,CN,78.06,broken clouds,24.41,109.61,Liuzhou Yuexing Hotel
679,Kampot,KH,78.8,scattered clouds,10.62,104.18,Champa Lodge
683,Gujar Khan,PK,90.0,clear sky,33.26,73.3,Al-Nemat dairy shop barki jadeed ward 2
688,Komsomolskiy,UZ,78.15,overcast clouds,40.43,71.72,Ikathouse
689,Ko Samui,TH,84.2,overcast clouds,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
695,Porto Novo,BJ,82.4,scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
699,Mabaruma,GY,84.2,scattered clouds,8.2,-59.78,Monty Brooms Guest House
701,Hatillo,PR,88.39,broken clouds,18.49,-66.83,Hotel Parador El Buen Cafe
702,Iquitos,PE,77.0,overcast clouds,-3.75,-73.25,Cortez Malaga Techy Caroly
706,Biak,ID,75.4,light rain,-0.91,122.88,Penginapan Kim
710,Nishihara,JP,80.65,scattered clouds,26.18,127.76,Minshuku Agaihama
711,Akdepe,TM,82.49,clear sky,42.06,59.38,Мой дом
715,Luancheng,CN,75.36,scattered clouds,37.88,114.65,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
